fid,STE_CODE21,STE_NAME21,SAL_CODE21,SAL_NAME21,area,bf_area,bf_area_pct
"9260","1",New South Wales,"11694",Gocup,62.6086389304155,33.971153734317,0.542595308166229
"9261","1",New South Wales,"11695",Godfreys Creek,247.287650450822,30.799103478581,0.12454768130326
"9262","1",New South Wales,"11696",Gogeldrie,103.48717043085,20.9557042321744,0.202495673086133
"9263","1",New South Wales,"11697",Gol Gol,20.2852208285917,0.000102159381052159,5.03614833259132e-06
"9264","1",New South Wales,"11698",Gollan,249.329553118181,45.0592817595855,0.180721784465829
"9265","1",New South Wales,"11699",Golspie,205.348078851575,51.6863713361441,0.251701265603283
"9266","1",New South Wales,"11700",Gongolgon,2211.12677472967,1266.47351807331,0.572772910421724
"9267","1",New South Wales,"11701",Gonn,186.590643536149,45.0587746183537,0.24148464126833
"9268","1",New South Wales,"11702",Gooandra,283.736760189814,279.910111967581,0.986513385788739
"9269","1",New South Wales,"11703",Goobarragandra,504.914552662416,504.400723839018,0.998982344991468
"9270","1",New South Wales,"11704",Good Forest,22.169505907685,22.1695059076858,1.00000000000003
"9271","1",New South Wales,"11705",Good Hope,142.276010324628,125.989312414467,0.885527448562831
"9272","1",New South Wales,"11706",Goodmans Ford,4.59508632387239,4.59508632387248,1.00000000000002
"9273","1",New South Wales,"11707",Goodnight,93.2608782043569,,0
"9274","1",New South Wales,"11708",Goodooga,3485.19684116258,659.284474158261,0.189167069811282
"9275","1",New South Wales,"11709",Goodwood Island,10.1333210983043,,0
"9276","1",New South Wales,"11710",Googong,71.9139857668983,68.5041517377836,0.952584549545518
"9277","1",New South Wales,"11711",Goolgowi,864.399050627727,47.3257828483666,0.0547499246025301
"9278","1",New South Wales,"11712",Goolhi,454.215163599761,454.007683086656,0.999543210949936
"9279","1",New South Wales,"11713",Goolma,244.532071095207,34.3982034687193,0.140669497112003
"9280","1",New South Wales,"11714",Goolmangar,13.2719599577692,5.3187509686112,0.400750980679208
"9281","1",New South Wales,"11715",Gooloogong,289.747784587591,165.538930346828,0.571320780182826
"9282","1",New South Wales,"11716",Goombargana,121.392730287451,5.74401219488393,0.0473175962125774
"9283","1",New South Wales,"11717",Goonellabah,23.3065974375167,13.5372268491905,0.580832396727272
"9284","1",New South Wales,"11718",Goonengerry,27.9577316761025,27.9118696591862,0.998359594496161
"9285","1",New South Wales,"11719",Goonoo Forest,508.898324913129,507.625619452611,0.997499096777858
